patron,valor_certificado,tipo,color,codigo,origen,K,sesiones,x,sigma_x,x_fabrica_invertida,x_esperada,banda_x,R_fabrica,error_fabrica_pct,R_acta,error_acta_pct,R_propuesta,error_propuesta_pct
P73,614,IX,blanco,1,estimacion,,,,,2089.7,2598.4,260.2,722,,613,,613,
P74,169,IX,rojo,4,estimacion,,,,,1006.7,1511.3,178.5,223,,223,,223,
P75,138,IX,rojo,4,estimacion,,,,,864.5,1337.8,147.5,210,,210,,210,
P76,433,IX,amarillo,2,estimacion,,,,,1474.2,1730.3,157.4,552,,425,,425,
P77,391,IX,amarillo,2,estimacion,,,,,1387.4,1617.3,143.3,500,,384,,384,
P78,97,IX,verde,3,estimacion,,,,,712.0,725.2,33.2,101,,101,,101,
P79,51,IX,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P80,51,IX,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P81,92,IX,azul,5,estimacion,,,,,1199.9,844.8,42.1,39,,39,,39,
P82,98,IX,azul,5,estimacion,,,,,1234.6,863.0,43.4,42,,42,,42,
P83,55,IX,cafe,4,estimacion,,,,,617.4,873.2,66.2,140,,140,,140,
P84,177,IX,lila,4,estimacion,,,,,1052.9,1556.1,186.5,226,,226,,226,
P85,118,IX,naranja,6,estimacion,,,,,1231.9,1231.9,584.2,118,,118,,118,
P86,124,IX,naranja,6,estimacion,,,,,1258.3,1258.3,607.3,123,,123,,123,
P87,131,IX,naranja,6,estimacion,,,,,1288.5,1288.5,633.6,130,,130,,130,
P88,773,XI,blanco,1,estimacion,,,,,2960.2,3130.5,325.5,788,,771,,771,
P89,183,XI,rojo,4,estimacion,,,,,1091.4,1589.7,192.5,228,,228,,228,
P90,162,XI,rojo,4,estimacion,,,,,970.1,1472.1,171.5,220,,220,,220,
P91,516,XI,amarillo,2,estimacion,,,,,1650.2,1953.6,185.3,646,,507,,507,
P92,522,XI,amarillo,2,estimacion,,,,,1663.2,1969.8,187.3,652,,513,,513,
P93,85,XI,verde,3,estimacion,,,,,681.7,705.4,32.1,94,,94,,94,
P94,51,XI,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P95,51,XI,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P96,95,XI,azul,5,estimacion,,,,,1217.4,853.9,42.7,41,,41,,41,
P97,102,XI,azul,5,estimacion,,,,,1257.2,875.2,44.3,43,,43,,43,
P98,68,XI,cafe,4,estimacion,,,,,648.9,946.0,78.6,157,,157,,157,
P99,188,XI,lila,4,estimacion,,,,,1126.7,1617.7,197.5,230,,230,,230,
P100,143,XI,naranja,6,estimacion,,,,,1338.6,1338.6,677.4,143,,143,,143,
P101,146,XI,naranja,6,estimacion,,,,,1350.8,1350.8,688.1,146,,146,,146,
P102,173,XI,naranja,6,estimacion,,,,,1456.4,1456.4,780.3,172,,172,,172,
P103,763,XI,blanco,1,estimacion,,,,,2873.1,3097.0,321.4,786,,762,,762,
P104,173,XI,rojo,4,estimacion,,,,,1029.1,1533.7,182.5,224,,224,,224,
P105,164,XI,rojo,4,estimacion,,,,,980.2,1483.3,173.5,221,,221,,221,
P106,493,XI,amarillo,2,estimacion,,,,,1600.6,1891.8,177.6,621,,484,,484,
P107,478,XI,amarillo,2,estimacion,,,,,1568.6,1851.4,172.5,604,,469,,469,
P108,96,XI,verde,3,estimacion,,,,,709.4,723.5,33.1,101,,101,,101,
P109,51,XI,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P110,51,XI,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P111,93,XI,azul,5,estimacion,,,,,1205.8,847.9,42.3,40,,40,,40,
P112,101,XI,azul,5,estimacion,,,,,1251.6,872.2,44.1,43,,43,,43,
P113,60,XI,cafe,4,estimacion,,,,,629.3,901.2,70.9,146,,146,,146,
P114,202,XI,lila,4,estimacion,,,,,1246.2,1696.0,211.5,236,,236,,236,
P115,147,XI,naranja,6,estimacion,,,,,1354.9,1354.9,691.6,147,,147,,147,
P116,158,XI,naranja,6,estimacion,,,,,1398.7,1398.7,729.9,158,,158,,158,
P117,154,XI,naranja,6,estimacion,,,,,1383.0,1383.0,716.2,154,,154,,154,
P118,508,IX,blanco,1,estimacion,,,,,1723.7,2243.7,216.7,651,,507,,507,
P119,138,IX,rojo,4,estimacion,,,,,864.5,1337.8,147.5,210,,210,,210,
P120,110,IX,rojo,4,estimacion,,,,,766.4,1181.1,119.7,194,,194,,194,
P121,320,IX,amarillo,2,estimacion,,,,,1241.9,1426.3,119.6,409,,314,,314,
P122,352,IX,amarillo,2,estimacion,,,,,1307.5,1512.4,130.3,451,,345,,345,
P123,115,IX,verde,3,estimacion,,,,,761.5,754.8,35.0,112,,112,,112,
P124,51,IX,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P125,51,IX,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P126,91,IX,azul,5,estimacion,,,,,1194.0,841.8,41.9,39,,39,,39,
P127,97,IX,azul,5,estimacion,,,,,1228.9,860.0,43.2,41,,41,,41,
P128,38,IX,cafe,4,estimacion,,,,,578.8,778.1,50.6,113,,113,,113,
P129,157,IX,lila,4,estimacion,,,,,945.9,1444.1,166.5,218,,218,,218,
P130,98,IX,naranja,6,estimacion,,,,,1139.4,1139.4,503.5,97,,97,,97,
P131,102,IX,naranja,6,estimacion,,,,,1158.5,1158.5,520.2,101,,101,,101,
P132,117,IX,naranja,6,estimacion,,,,,1227.4,1227.4,580.3,116,,116,,116,
