# inicio_ms,1789845092408
# RTV V3.6 - diario de campana (evento,campos...). Solo se anade.
PASO,1,HECHO,,"2026-09-19T14:13:13-0500",calentamiento confirmado por el operador
BATERIA,"2026-09-19T14:13:18-0500",87,"Batería 11,29 V (n = 87)"
PASO,2,HECHO,,"2026-09-19T14:13:18-0500","Batería 11,29 V (n = 87)"
DISPARO,S013,5,"2026-09-19T14:31:17-0500","::825",825,2
DISPARO,S013,6,"2026-09-19T14:31:19-0500","::810",810,2
DISPARO,S013,7,"2026-09-19T14:31:26-0500","::807",807,3
DISPARO,S013,8,"2026-09-19T14:31:28-0500","::816",816,3
DISPARO,S013,9,"2026-09-19T14:31:30-0500","::812",812,3
VEREDICTO,S013,OK,1,
SERIE,S014,"2026-09-19T14:31:58-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P32a,0,e
DISPARO,S014,1,"2026-09-19T14:32:01-0500","::633",633,1
DISPARO,S014,2,"2026-09-19T14:32:03-0500","::638",638,1
DISPARO,S014,3,"2026-09-19T14:32:04-0500","::645",645,1
DISPARO,S014,4,"2026-09-19T14:32:13-0500","::647",647,2
DISPARO,S014,5,"2026-09-19T14:32:15-0500","::643",643,2
DISPARO,S014,6,"2026-09-19T14:32:16-0500","::637",637,2
DISPARO,S014,7,"2026-09-19T14:32:24-0500","::644",644,3
DISPARO,S014,8,"2026-09-19T14:32:26-0500","::631",631,3
DISPARO,S014,9,"2026-09-19T14:32:27-0500","::647",647,3
VEREDICTO,S014,OK,1,
SERIE,S015,"2026-09-19T14:32:50-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P32b,0,e
DISPARO,S015,1,"2026-09-19T14:32:53-0500","::793",793,1
DISPARO,S015,2,"2026-09-19T14:32:55-0500","::801",801,1
DISPARO,S015,3,"2026-09-19T14:32:56-0500","::805",805,1
DISPARO,S015,4,"2026-09-19T14:33:04-0500","::791",791,2
DISPARO,S015,5,"2026-09-19T14:33:06-0500","::801",801,2
DISPARO,S015,6,"2026-09-19T14:33:08-0500","::794",794,2
DISPARO,S015,7,"2026-09-19T14:33:14-0500","::796",796,3
DISPARO,S015,8,"2026-09-19T14:33:16-0500","::807",807,3
DISPARO,S015,9,"2026-09-19T14:33:18-0500","::801",801,3
VEREDICTO,S015,OK,1,
SERIE,S016,"2026-09-19T14:34:14-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P33,0,e
DISPARO,S016,1,"2026-09-19T14:34:17-0500","::846",846,1
DISPARO,S016,2,"2026-09-19T14:34:19-0500","::837",837,1
DISPARO,S016,3,"2026-09-19T14:34:21-0500","::853",853,1
DISPARO,S016,4,"2026-09-19T14:34:26-0500","::841",841,2
DISPARO,S016,5,"2026-09-19T14:34:28-0500","::848",848,2
DISPARO,S016,6,"2026-09-19T14:34:29-0500","::833",833,2
DISPARO,S016,7,"2026-09-19T14:34:35-0500","::842",842,3
DISPARO,S016,8,"2026-09-19T14:34:37-0500","::845",845,3
DISPARO,S016,9,"2026-09-19T14:34:38-0500","::843",843,3
VEREDICTO,S016,OK,1,
SERIE,S017,"2026-09-19T14:35:50-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P35,0,e
DISPARO,S017,1,"2026-09-19T14:35:53-0500","::1102",1102,1
DISPARO,S017,2,"2026-09-19T14:35:54-0500","::1090",1090,1
DISPARO,S017,3,"2026-09-19T14:35:56-0500","::1090",1090,1
DISPARO,S017,4,"2026-09-19T14:36:04-0500","::1091",1091,2
DISPARO,S017,5,"2026-09-19T14:36:05-0500","::1089",1089,2
DISPARO,S017,6,"2026-09-19T14:36:07-0500","::1096",1096,2
DISPARO,S017,7,"2026-09-19T14:36:14-0500","::1100",1100,3
DISPARO,S017,8,"2026-09-19T14:36:15-0500","::1091",1091,3
