# inicio_ms,1789845092408
# RTV V3.6 - diario de campana (evento,campos...). Solo se anade.
PASO,1,HECHO,,"2026-09-19T14:13:13-0500",calentamiento confirmado por el operador
BATERIA,"2026-09-19T14:13:18-0500",87,"Batería 11,29 V (n = 87)"
PASO,2,HECHO,,"2026-09-19T14:13:18-0500","Batería 11,29 V (n = 87)"
SERIE,S036,"2026-09-19T15:02:29-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P27,0,e
DISPARO,S036,1,"2026-09-19T15:02:32-0500","::2058",2058,1
DISPARO,S036,2,"2026-09-19T15:02:34-0500","::2053",2053,1
DISPARO,S036,3,"2026-09-19T15:02:35-0500","::2054",2054,1
DISPARO,S036,4,"2026-09-19T15:02:37-0500","::2057",2057,1
DISPARO,S036,5,"2026-09-19T15:02:38-0500","::2055",2055,1
DISPARO,S036,6,"2026-09-19T15:02:40-0500","::2053",2053,1
DISPARO,S036,7,"2026-09-19T15:02:41-0500","::2048",2048,1
DISPARO,S036,8,"2026-09-19T15:02:43-0500","::2052",2052,1
DISPARO,S036,9,"2026-09-19T15:02:45-0500","::2054",2054,1
DISPARO,S036,10,"2026-09-19T15:03:25-0500","::1958",1958,2
DISPARO,S036,11,"2026-09-19T15:03:26-0500","::1954",1954,2
DISPARO,S036,12,"2026-09-19T15:03:28-0500","::1949",1949,2
DISPARO,S036,13,"2026-09-19T15:03:30-0500","::1957",1957,2
DISPARO,S036,14,"2026-09-19T15:03:31-0500","::1968",1968,2
DISPARO,S036,15,"2026-09-19T15:03:33-0500","::1955",1955,2
DISPARO,S036,16,"2026-09-19T15:03:34-0500","::1959",1959,2
DISPARO,S036,17,"2026-09-19T15:03:36-0500","::1957",1957,2
DISPARO,S036,18,"2026-09-19T15:03:38-0500","::1957",1957,2
DISPARO,S036,19,"2026-09-19T15:03:43-0500","::1953",1953,3
DISPARO,S036,20,"2026-09-19T15:03:45-0500","::1964",1964,3
DISPARO,S036,21,"2026-09-19T15:03:46-0500","::1957",1957,3
DISPARO,S036,22,"2026-09-19T15:03:48-0500","::1957",1957,3
DISPARO,S036,23,"2026-09-19T15:03:49-0500","::1961",1961,3
DISPARO,S036,24,"2026-09-19T15:03:51-0500","::1959",1959,3
DISPARO,S036,25,"2026-09-19T15:03:53-0500","::1963",1963,3
DISPARO,S036,26,"2026-09-19T15:03:54-0500","::1955",1955,3
DISPARO,S036,27,"2026-09-19T15:03:56-0500","::1952",1952,3
DISPARO,S036,28,"2026-09-19T15:04:01-0500","::1952",1952,4
DISPARO,S036,29,"2026-09-19T15:04:03-0500","::1959",1959,4
DISPARO,S036,30,"2026-09-19T15:04:04-0500","::1961",1961,4
DISPARO,S036,31,"2026-09-19T15:04:06-0500","::1960",1960,4
DISPARO,S036,32,"2026-09-19T15:04:08-0500","::1954",1954,4
DISPARO,S036,33,"2026-09-19T15:04:09-0500","::1952",1952,4
DISPARO,S036,34,"2026-09-19T15:04:11-0500","::1952",1952,4
DISPARO,S036,35,"2026-09-19T15:04:12-0500","::1964",1964,4
DISPARO,S036,36,"2026-09-19T15:04:14-0500","::1961",1961,4
DISPARO,S036,37,"2026-09-19T15:04:19-0500","::1953",1953,5
DISPARO,S036,38,"2026-09-19T15:04:21-0500","::1942",1942,5
DISPARO,S036,39,"2026-09-19T15:04:22-0500","::1963",1963,5
DISPARO,S036,40,"2026-09-19T15:04:24-0500","::1953",1953,5
DISPARO,S036,41,"2026-09-19T15:04:25-0500","::1950",1950,5
DISPARO,S036,42,"2026-09-19T15:04:27-0500","::1961",1961,5
DISPARO,S036,43,"2026-09-19T15:04:28-0500","::1956",1956,5
DISPARO,S036,44,"2026-09-19T15:04:30-0500","::1965",1965,5
DISPARO,S036,45,"2026-09-19T15:04:32-0500","::1958",1958,5
VEREDICTO,S036,OK,1,
SERIE,S037,"2026-09-19T15:05:16-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P28,0,e
DISPARO,S037,1,"2026-09-19T15:05:19-0500","::2070",2070,1
DISPARO,S037,2,"2026-09-19T15:05:20-0500","::2065",2065,1
DISPARO,S037,3,"2026-09-19T15:05:22-0500","::2075",2075,1
DISPARO,S037,4,"2026-09-19T15:05:24-0500","::2078",2078,1
DISPARO,S037,5,"2026-09-19T15:05:25-0500","::2061",2061,1
DISPARO,S037,6,"2026-09-19T15:05:27-0500","::2065",2065,1
DISPARO,S037,7,"2026-09-19T15:05:29-0500","::2069",2069,1
DISPARO,S037,8,"2026-09-19T15:05:30-0500","::2073",2073,1
DISPARO,S037,9,"2026-09-19T15:05:32-0500","::2064",2064,1
DISPARO,S037,10,"2026-09-19T15:05:38-0500","::2057",2057,2
DISPARO,S037,11,"2026-09-19T15:05:39-0500","::2053",2053,2
DISPARO,S037,12,"2026-09-19T15:05:41-0500","::2057",2057,2
DISPARO,S037,13,"2026-09-19T15:05:42-0500","::2070",2070,2
DISPARO,S037,14,"2026-09-19T15:05:44-0500","::2055",2055,2
DISPARO,S037,15,"2026-09-19T15:05:46-0500","::2062",2062,2
DISPARO,S037,16,"2026-09-19T15:05:47-0500","::2070",2070,2
DISPARO,S037,17,"2026-09-19T15:05:49-0500","::2066",2066,2
DISPARO,S037,18,"2026-09-19T15:05:50-0500","::2069",2069,2
DISPARO,S037,19,"2026-09-19T15:05:56-0500","::2066",2066,3
DISPARO,S037,20,"2026-09-19T15:05:58-0500","::2066",2066,3
DISPARO,S037,21,"2026-09-19T15:05:59-0500","::2060",2060,3
DISPARO,S037,22,"2026-09-19T15:06:01-0500","::2060",2060,3
DISPARO,S037,23,"2026-09-19T15:06:03-0500","::2073",2073,3
DISPARO,S037,24,"2026-09-19T15:06:04-0500","::2067",2067,3
DISPARO,S037,25,"2026-09-19T15:06:06-0500","::2061",2061,3
DISPARO,S037,26,"2026-09-19T15:06:07-0500","::2068",2068,3
DISPARO,S037,27,"2026-09-19T15:06:09-0500","::2067",2067,3
DISPARO,S037,28,"2026-09-19T15:06:14-0500","::2069",2069,4
DISPARO,S037,29,"2026-09-19T15:06:16-0500","::2065",2065,4
DISPARO,S037,30,"2026-09-19T15:06:18-0500","::2066",2066,4
DISPARO,S037,31,"2026-09-19T15:06:19-0500","::2074",2074,4
DISPARO,S037,32,"2026-09-19T15:06:21-0500","::2065",2065,4
DISPARO,S037,33,"2026-09-19T15:06:22-0500","::2071",2071,4
DISPARO,S037,34,"2026-09-19T15:06:24-0500","::2066",2066,4
DISPARO,S037,35,"2026-09-19T15:06:26-0500","::2059",2059,4
DISPARO,S037,36,"2026-09-19T15:06:27-0500","::2063",2063,4
DISPARO,S037,37,"2026-09-19T15:06:33-0500","::2059",2059,5
DISPARO,S037,38,"2026-09-19T15:06:34-0500","::2071",2071,5
DISPARO,S037,39,"2026-09-19T15:06:36-0500","::2063",2063,5
DISPARO,S037,40,"2026-09-19T15:06:38-0500","::2069",2069,5
DISPARO,S037,41,"2026-09-19T15:06:39-0500","::2069",2069,5
DISPARO,S037,42,"2026-09-19T15:06:41-0500","::2064",2064,5
DISPARO,S037,43,"2026-09-19T15:06:42-0500","::2064",2064,5
DISPARO,S037,44,"2026-09-19T15:06:44-0500","::2066",2066,5
DISPARO,S037,45,"2026-09-19T15:06:45-0500","::2066",2066,5
VEREDICTO,S037,DUDOSO,0,repetida
SERIE,S038,"2026-09-19T15:06:50-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P28,0,e
DISPARO,S038,1,"2026-09-19T15:06:53-0500","::2059",2059,1
DISPARO,S038,2,"2026-09-19T15:06:55-0500","::2065",2065,1
DISPARO,S038,3,"2026-09-19T15:06:56-0500","::2073",2073,1
DISPARO,S038,4,"2026-09-19T15:06:58-0500","::2061",2061,1
DISPARO,S038,5,"2026-09-19T15:06:59-0500","::2067",2067,1
DISPARO,S038,6,"2026-09-19T15:07:01-0500","::2065",2065,1
DISPARO,S038,7,"2026-09-19T15:07:03-0500","::2061",2061,1
DISPARO,S038,8,"2026-09-19T15:07:04-0500","::2064",2064,1
DISPARO,S038,9,"2026-09-19T15:07:06-0500","::2066",2066,1
DISPARO,S038,10,"2026-09-19T15:07:11-0500","::2060",2060,2
DISPARO,S038,11,"2026-09-19T15:07:13-0500","::2065",2065,2
DISPARO,S038,12,"2026-09-19T15:07:15-0500","::2063",2063,2
DISPARO,S038,13,"2026-09-19T15:07:16-0500","::2062",2062,2
DISPARO,S038,14,"2026-09-19T15:07:18-0500","::2070",2070,2
DISPARO,S038,15,"2026-09-19T15:07:19-0500","::2062",2062,2
DISPARO,S038,16,"2026-09-19T15:07:21-0500","::2070",2070,2
DISPARO,S038,17,"2026-09-19T15:07:23-0500","::2060",2060,2
DISPARO,S038,18,"2026-09-19T15:07:24-0500","::2073",2073,2
DISPARO,S038,19,"2026-09-19T15:07:32-0500","::2195",2195,3
DISPARO,S038,20,"2026-09-19T15:07:34-0500","::2186",2186,3
DISPARO,S038,21,"2026-09-19T15:07:35-0500","::2194",2194,3
DISPARO,S038,22,"2026-09-19T15:07:37-0500","::2197",2197,3
DISPARO,S038,23,"2026-09-19T15:07:39-0500","::2192",2192,3
DISPARO,S038,24,"2026-09-19T15:07:40-0500","::2202",2202,3
DISPARO,S038,25,"2026-09-19T15:07:42-0500","::2192",2192,3
DISPARO,S038,26,"2026-09-19T15:07:43-0500","::2191",2191,3
DISPARO,S038,27,"2026-09-19T15:07:45-0500","::2199",2199,3
DISPARO,S038,28,"2026-09-19T15:07:50-0500","::2193",2193,4
DISPARO,S038,29,"2026-09-19T15:07:52-0500","::2187",2187,4
DISPARO,S038,30,"2026-09-19T15:07:54-0500","::2189",2189,4
DISPARO,S038,31,"2026-09-19T15:07:55-0500","::2187",2187,4
DISPARO,S038,32,"2026-09-19T15:07:57-0500","::2194",2194,4
DISPARO,S038,33,"2026-09-19T15:07:58-0500","::2184",2184,4
DISPARO,S038,34,"2026-09-19T15:08:00-0500","::2184",2184,4
DISPARO,S038,35,"2026-09-19T15:08:02-0500","::2182",2182,4
DISPARO,S038,36,"2026-09-19T15:08:03-0500","::2178",2178,4
DISPARO,S038,37,"2026-09-19T15:08:08-0500","::2181",2181,5
DISPARO,S038,38,"2026-09-19T15:08:10-0500","::2181",2181,5
DISPARO,S038,39,"2026-09-19T15:08:11-0500","::2179",2179,5
DISPARO,S038,40,"2026-09-19T15:08:13-0500","::2182",2182,5
DISPARO,S038,41,"2026-09-19T15:08:15-0500","::2191",2191,5
DISPARO,S038,42,"2026-09-19T15:08:16-0500","::2185",2185,5
DISPARO,S038,43,"2026-09-19T15:08:18-0500","::2189",2189,5
DISPARO,S038,44,"2026-09-19T15:08:19-0500","::2177",2177,5
DISPARO,S038,45,"2026-09-19T15:08:21-0500","::2187",2187,5
VEREDICTO,S038,REPETIR,1,Ok
