fecha_hora,serie,mac,firmware,patron,valor_certificado,tipo_lamina,color,codigo,respuesta_bruta,x,resolucion_x,metodo,nota
2026-09-19T09:17:28-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2022",2022,0,e directa,
2026-09-19T09:17:29-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2016",2016,0,e directa,
2026-09-19T09:17:31-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2014",2014,0,e directa,
2026-09-19T09:17:33-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2017",2017,0,e directa,
2026-09-19T09:17:34-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P2,414,IV,blanco,e,"::2016",2016,0,e directa,
2026-09-19T09:17:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1652",1652,0,e directa,
2026-09-19T09:17:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1651",1651,0,e directa,
2026-09-19T09:17:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1664",1664,0,e directa,
2026-09-19T09:17:55-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1657",1657,0,e directa,
2026-09-19T09:17:56-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1657",1657,0,e directa,
2026-09-19T09:17:58-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1658",1658,0,e directa,
2026-09-19T09:18:00-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1668",1668,0,e directa,
2026-09-19T09:18:01-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1666",1666,0,e directa,
2026-09-19T09:18:03-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P3,378,IV,blanco,e,"::1658",1658,0,e directa,
2026-09-19T09:18:21-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3322",3322,0,e directa,
2026-09-19T09:18:22-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3355",3355,0,e directa,
2026-09-19T09:18:24-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3362",3362,0,e directa,
2026-09-19T09:18:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3353",3353,0,e directa,
2026-09-19T09:18:27-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3364",3364,0,e directa,
2026-09-19T09:18:29-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3368",3368,0,e directa,
2026-09-19T09:18:30-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3363",3363,0,e directa,
2026-09-19T09:18:32-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3364",3364,0,e directa,
2026-09-19T09:18:34-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P4,828,XI,blanco,e,"::3360",3360,0,e directa,
2026-09-19T09:18:59-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3094",3094,0,e directa,
2026-09-19T09:19:00-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3109",3109,0,e directa,
2026-09-19T09:19:02-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3109",3109,0,e directa,
2026-09-19T09:19:04-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3115",3115,0,e directa,
2026-09-19T09:19:05-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3113",3113,0,e directa,
2026-09-19T09:19:07-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3127",3127,0,e directa,
2026-09-19T09:19:08-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3119",3119,0,e directa,
2026-09-19T09:19:10-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3119",3119,0,e directa,
2026-09-19T09:19:12-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P6,772,XI,blanco,e,"::3113",3113,0,e directa,
2026-09-19T09:19:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3209",3209,0,e directa,
2026-09-19T09:19:28-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3225",3225,0,e directa,
2026-09-19T09:19:29-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3225",3225,0,e directa,
2026-09-19T09:19:31-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3229",3229,0,e directa,
2026-09-19T09:19:32-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3237",3237,0,e directa,
2026-09-19T09:19:34-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3236",3236,0,e directa,
2026-09-19T09:19:36-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3231",3231,0,e directa,
2026-09-19T09:19:37-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3233",3233,0,e directa,
2026-09-19T09:19:39-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3031",3031,0,e directa,
2026-09-19T09:19:47-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3217",3217,0,e directa,
2026-09-19T09:19:48-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3233",3233,0,e directa,
2026-09-19T09:19:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3241",3241,0,e directa,
2026-09-19T09:19:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3232",3232,0,e directa,
2026-09-19T09:19:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3234",3234,0,e directa,
2026-09-19T09:19:55-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3234",3234,0,e directa,
2026-09-19T09:19:56-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3244",3244,0,e directa,
2026-09-19T09:19:58-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3237",3237,0,e directa,
2026-09-19T09:20:00-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P7,768,XI,blanco,e,"::3241",3241,0,e directa,
2026-09-19T09:22:51-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1714",1714,0,e directa,
2026-09-19T09:22:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1721",1721,0,e directa,
2026-09-19T09:22:54-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1721",1721,0,e directa,
2026-09-19T09:22:56-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1726",1726,0,e directa,
2026-09-19T09:22:57-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1731",1731,0,e directa,
2026-09-19T09:22:59-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1725",1725,0,e directa,
2026-09-19T09:23:01-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1723",1723,0,e directa,
2026-09-19T09:23:02-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1725",1725,0,e directa,
2026-09-19T09:23:04-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P29,442,IV,amarillo,e,"::1724",1724,0,e directa,
2026-09-19T09:23:40-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2780",2780,0,e directa,
2026-09-19T09:23:42-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2797",2797,0,e directa,
2026-09-19T09:23:44-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2797",2797,0,e directa,
2026-09-19T09:23:45-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2810",2810,0,e directa,
2026-09-19T09:23:47-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2806",2806,0,e directa,
2026-09-19T09:23:48-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2812",2812,0,e directa,
2026-09-19T09:23:50-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2799",2799,0,e directa,
2026-09-19T09:23:52-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2804",2804,0,e directa,
2026-09-19T09:23:53-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P20,782,XI,amarillo,e,"::2808",2808,0,e directa,
2026-09-19T09:24:18-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2734",2734,0,e directa,
2026-09-19T09:24:20-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2751",2751,0,e directa,
2026-09-19T09:24:22-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2749",2749,0,e directa,
2026-09-19T09:24:23-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2765",2765,0,e directa,
2026-09-19T09:24:25-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2764",2764,0,e directa,
2026-09-19T09:24:26-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2749",2749,0,e directa,
2026-09-19T09:24:28-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2756",2756,0,e directa,
2026-09-19T09:24:30-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2767",2767,0,e directa,
2026-09-19T09:24:31-0500,SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-18 DEF mascara 0000,P23,714,XI,amarillo,e,"::2757",2757,0,e directa,
